"Len","P31","P50","P356","P1476","P577"
"3D printing-based integrated water quality sensing system","Q13442814","Rehan Sadiq","10.3390/s17061336","3D printing-based integrated water quality sensing system","2017-06-08T14:26:09Z"
"A Bayesian belief approach to quality control of resin transfer molding process","Q13442814","Rehan Sadiq","10.1007/s00170-020-05715-x","A Bayesian belief approach to quality control of resin transfer molding process","2020-07-23T02:02:25Z"
"A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","Q13442814","Rehan Sadiq","10.1061/41203(425)126","A Comparison of Various Uncertainty Propagation Methods: An Example of Subsurface Contaminant Transport","2012-01-05T20:10:27Z"
"A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Q13442814","Rehan Sadiq","10.1515/jisys-2015-0108","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","2015-12-14T17:01:46Z"
"A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","Q13442814","Rehan Sadiq","10.2175/193864704790896252","A PROBABILISTIC APPROACH TO ECOLOGICAL RISK ASSESSMENT: A CASE STUDY OF THERMAL DISCHARGES INTO LAKE WATER ENVIRONMENT","2012-10-24T14:55:14Z"
"A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","Q13442814","Rehan Sadiq","10.1007/s13198-014-0318-2","A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","2014-12-05T05:21:28Z"
"A comparison of various uncertainty models: An example of subsurface contaminant transport","Q13442814","Rehan Sadiq","10.1016/j.jher.2011.09.001","A comparison of various uncertainty models: An example of subsurface contaminant transport","2011-10-14T13:39:40Z"
"A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","2014-06-25T15:46:28Z"
"A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Q13442814","Rehan Sadiq","10.1080/15732479.2015.1053093","A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","2015-07-17T06:39:58Z"
"A fuzzy expert system for deterioration modeling of buried metallic pipes","Q13442814","Rehan Sadiq","10.1109/nafips.2004.1336311","A fuzzy expert system for deterioration modeling of buried metallic pipes","2004-11-08T16:27:50Z"
"A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","Q13442814","Rehan Sadiq","10.1504/ijee.2014.062156","A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","2014-06-01T07:30:15Z"
"A fuzzy rule-based approach for water quality assessment in the distribution network","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608562","A fuzzy rule-based approach for water quality assessment in the distribution network","2013-10-01T18:39:42Z"
"A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2013.06.061","A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","2013-07-12T17:21:41Z"
"A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2003.12.007","A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","2004-03-09T13:52:41Z"
"A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Q13442814","Rehan Sadiq","10.1007/s10098-016-1322-9","A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","2017-01-02T13:12:01Z"
"A method of measuring uncertainty for Z-number","Q13442814","Rehan Sadiq","10.1109/tfuzz.2018.2868496","A method of measuring uncertainty for Z-number","2018-09-03T18:26:01Z"
"A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","A new closeness centrality measure via effective distance in complex networks","2015-03-24T18:35:13Z"
"A new method in failure mode and effects analysis based on evidential reasoning","Q13442814","Rehan Sadiq","10.1109/access.2019.2934495","A new method in failure mode and effects analysis based on evidential reasoning","2019-08-12T19:28:28Z"
"A new method of mapping relations from data based on artificial neural network","Q13442814","Rehan Sadiq","10.1007/s13198-013-0204-3","A new method of mapping relations from data based on artificial neural network","2013-10-31T10:34:57Z"
"A new method to construct co-author networks","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.10.006","A new method to construct co-author networks","2014-10-15T20:55:45Z"
"A new method to determine basic probability assignment using core samples","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.06.015","A new method to determine basic probability assignment using core samples","2014-07-09T04:46:04Z"
"A new weighting factor in combining belief function","Q13442814","Rehan Sadiq","10.1371/journal.pone.0177695","A new weighting factor in combining belief function","2017-05-25T17:33:12Z"
"A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122372","A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","2020-05-25T12:29:37Z"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1007/978-90-481-2500-5_5","A review of drought indices","2010-09-06T12:10:05Z"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","A review of drought indices","2011-09-13T13:44:41Z"
"A review of multi-criteria decision-making methods for infrastructure management","Q13442814","Rehan Sadiq","10.1080/15732479.2013.795978","A review of multi-criteria decision-making methods for infrastructure management","2013-05-29T09:24:16Z"
"A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2011.04.005","A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","2011-04-30T19:20:05Z"
"AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Q13442814","Rehan Sadiq","10.1080/09640568.2014.920704","AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","2014-06-11T11:51:58Z"
"Acute ecological risk associated with soot deposition: a Persian Gulf case study","Q13442814","Rehan Sadiq","10.1016/s0029-8018(00)00053-6","Acute ecological risk associated with soot deposition: a Persian Gulf case study","2002-10-14T23:55:37Z"
"Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Q13442814","Rehan Sadiq","10.1016/j.watres.2012.03.061","Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","2012-04-05T21:30:24Z"
"Aggregative risk analysis for water quality failure in distribution networks","Q13442814","Rehan Sadiq","10.2166/aqua.2004.0020","Aggregative risk analysis for water quality failure in distribution networks","2018-05-18T11:18:13Z"
"An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Q13442814","Rehan Sadiq","10.1108/14637150610710927","An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","2007-01-15T19:48:46Z"
"An aggregative fuzzy risk analysis for flood incident management","Q13442814","Rehan Sadiq","10.1007/s13198-011-0053-x","An aggregative fuzzy risk analysis for flood incident management","2011-04-19T14:00:26Z"
"An evidential game theory framework in multi-criteria decision making process","Q13442814","Rehan Sadiq","10.1016/j.amc.2014.07.065","An evidential game theory framework in multi-criteria decision making process","2014-08-07T08:46:34Z"
"An integrated approach to environmental decision-making for offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.psep.2012.05.001","An integrated approach to environmental decision-making for offshore oil and gas operations","2012-05-17T02:43:55Z"
"An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.03.192","An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","2018-03-21T04:32:19Z"
"An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Q13442814","Rehan Sadiq","10.1016/j.psep.2019.08.002","An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","2019-08-11T13:45:12Z"
"An integrated performance assessment framework for water treatment plants","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.12.006","An integrated performance assessment framework for water treatment plants","2011-12-13T17:45:14Z"
"An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Q13442814","Rehan Sadiq","10.1007/s10098-014-0714-y","An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","2014-01-22T18:16:53Z"
"An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Q13442814","Rehan Sadiq","10.1007/s10098-012-0481-6","An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","2012-03-24T12:23:57Z"
"Analyzing energy options for small-scale off-grid communities: A Canadian case study","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119320","Analyzing energy options for small-scale off-grid communities: A Canadian case study","2019-11-18T04:27:00Z"
"Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Q13442814","Rehan Sadiq","10.1016/j.wasman.2020.10.001","Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","2020-10-22T00:36:20Z"
"Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2011.08.010","Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","2011-09-11T21:32:57Z"
"Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Q13442814","Rehan Sadiq","10.3390/membranes11030213","Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","2021-03-18T15:41:06Z"
"Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Q13442814","Rehan Sadiq","10.1016/j.tox.2012.11.010","Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","2012-12-04T15:46:50Z"
"Application of decision support systems in water management","Q13442814","Rehan Sadiq","10.1139/er-2013-0034","Application of decision support systems in water management","2013-10-25T03:33:04Z"
"Application of neuro-fuzzy based expert system in water quality assessment","Q13442814","Rehan Sadiq","10.1007/s13198-014-0315-5","Application of neuro-fuzzy based expert system in water quality assessment","2014-12-08T14:47:01Z"
"Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.08.078","Are we ready for alternative fuel transportation systems in Canada: A regional vignette","2017-08-14T22:50:05Z"
"Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119559","Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","2019-12-06T00:08:46Z"
"Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.10.067","Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","2016-10-25T18:16:36Z"
"Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Q13442814","Rehan Sadiq","10.1007/s10661-016-5306-3","Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","2016-04-21T20:12:21Z"
"Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Q13442814","Rehan Sadiq","10.1016/j.jher.2018.08.002","Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","2018-08-14T23:30:34Z"
"Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122886","Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","2020-07-12T06:26:27Z"
"Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Q13442814","Rehan Sadiq","10.4314/wsa.v42i2.17","Assessment of water quality in distribution networks through the lens of disinfection by-product rules","2016-05-05T08:06:41Z"
"BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119543","BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","2019-12-03T18:09:04Z"
"Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0374","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","2015-12-23T22:37:17Z"
"Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Q13442814","Rehan Sadiq","10.3390/su12114422","Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","2020-06-02T13:19:27Z"
"Carbon capturing for emissions reduction at building level: A market assessment from a building management perspective","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2021.126323","Carbon capturing for emissions reduction at building level: A market assessment from a building management perspective","2021-02-10T21:30:05Z"
"Characterizing hydraulic fracturing fluid greenness: application of a hazard-based index approach","Q13442814","Rehan Sadiq","10.1007/s10098-015-1054-2","Characterizing hydraulic fracturing fluid greenness: application of a hazard-based index approach","2015-10-16T10:53:14Z"
"Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","Q13442814","Rehan Sadiq","10.1007/s13198-012-0082-0","Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","2012-02-07T18:32:13Z"
"Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2019.07.004","Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","2019-07-16T06:32:08Z"
"Climate conscious regional planning for fast-growing communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.07.092","Climate conscious regional planning for fast-growing communities","2017-07-14T18:45:52Z"
"Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","Q13442814","Rehan Sadiq","10.1007/s00477-016-1227-5","Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","2016-02-11T09:01:18Z"
"Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-006-0069-y","Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","2006-08-08T18:52:47Z"
"Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","Q13442814","Rehan Sadiq","10.1016/j.apenergy.2020.116304","Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","2020-12-13T13:55:17Z"
"Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119594","Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","2019-12-14T07:30:19Z"
"Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","Q13442814","Rehan Sadiq","10.1007/s00477-013-0780-4","Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","2013-08-13T12:53:19Z"
"Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000196","Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","2015-01-27T16:22:10Z"
"Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.02.051","Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","2014-02-25T23:17:45Z"
"Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Q13442814","Rehan Sadiq","10.1061/(asce)0887-3801(2008)22:2(114)","Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","2008-02-19T16:32:57Z"
"Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","Q13442814","Rehan Sadiq","10.1080/15732479.2011.602979","Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","2013-02-22T12:14:14Z"
"Condition assessment of water mains using fuzzy evidential reasoning","Q13442814","Rehan Sadiq","10.1109/icsmc.2005.1571684","Condition assessment of water mains using fuzzy evidential reasoning","2006-01-18T23:42:54Z"
"Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000229","Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","2015-12-31T17:34:45Z"
"Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Q13442814","Rehan Sadiq","10.1139/er-2014-0069","Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","2015-03-18T22:27:43Z"
"Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.109479","Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","2019-09-30T16:18:53Z"
"Cost/comfort-oriented clustering-based extended time of use pricing","Q13442814","Rehan Sadiq","10.1016/j.scs.2020.102673","Cost/comfort-oriented clustering-based extended time of use pricing","2020-12-29T07:22:44Z"
"Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_8","Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","2020-07-02T09:26:22Z"
"D-CFPR: D numbers extended consistent fuzzy preference relations","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.09.007","D-CFPR: D numbers extended consistent fuzzy preference relations","2014-09-22T01:38:00Z"
